country,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022
Thailand,51405449,17966879,16667270,1842371,32935,54663,52269,82095,78978,89322,84335,74861,122303,124864,85593,99600,75501,123930,110346,154482,178881,120564,114973,105465,108502,96495
Timor-Leste,1491565,616898,554176,11134,663,1566,672,1997,1283,2877,1523,810,2545,630,1401,1808,388,1572,704,1094,1470,1080,1288,1261,1246,970
Togo,5699519,127368,153931,47916,835,385,417,483,250,281,863,243,561,143,409,345,528,375,152,946,1676,1263,1106,1128,1289,1044
Trinidad and Tobago,515900,383108,366307,3320,1803,715,716,723,1203,1725,1087,1251,1358,3380,372,705,749,1524,662,1334,732,935,649,846,309,369
Tunisia,15486458,178455,107310,10133,209,211,1263,283,548,308,780,608,853,344,1976,1313,1147,1909,1555,1152,7338,737,460,927,1901,2506
Turkey,78070341,8214010,6609534,473795,19425,21966,15013,24220,17624,21942,20472,23222,23655,14144,19677,23561,17883,17218,22327,19719,26064,27790,30165,34690,59781,39802
Turkmenistan,48959210,5851,4492,419,24,68,56,22,22,11,15,62,8,8,7,6,0,1,0,0,0,0,0,0,0,0
Turks and Caicos Islands,99152,8653,8192,64,4,2,7,7,13,3,45,45,90,32,9,7,10,29,20,18,31,35,16,33,42,15
Tuvalu,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,24143953,3270233,3064349,185027,25435,7896,9520,14281,24290,23272,31204,30570,18484,30198,54167,23295,32030,36110,37228,45787,69576,51145,38644,42173,26838,34635
Ukraine,60136110,9691026,9352623,926362,27439,25096,36816,46981,34802,40255,62190,50243,46012,51148,58671,53815,35668,44897,46236,98497,80352,69603,42364,73849,61508,44200
United Arab Emirates,7120448,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,24548498,2962329,3454024,473123,20858,18802,1738,23051,8213,18906,29619,11806,34897,27316,22089,34701,27124,29088,23144,27607,21945,25198,27134,21778,24998,32567
United States,947295610,244567020,227562923,13986700,1856943,1870736,1544225,2458621,2434773,2416774,2307144,2136147,1521998,2008152,1611291,1888194,1571411,1607381,1957748,2058805,2099064,1911150,1850817,1780477,1851285,1893517
